crs_id,project_number,year,aid_type,flow_name,donor_name,recipient_name,usd_commitment_deflated,usd_disbursement_deflated,purpose_name,project_title,short_description,long_description,gender,relevance,check,inclusion,employment
20060005920002,S063421001,2013,D01,ODA Grants,Canada,Bolivia,0,0.076819,Basic health care,Community-based Ecodevelopment and Environmental Health / Écodéveloppement communautaire et santé environnementale,COMMUNITY-BASED ECODEVELOPMENT AND ENVIRONMENTAL HEALTH / ÉCODÉVELOPPEMENT COMMUNAUTAIRE ET SANTÉ ENVIRONNEMENTALE,"The project aims to strengthen three universities in the Bolivian Amazonia in training, research, and service to communities to promote community-based ecodevelopment and environmental health in connection with water and sanitation.   Through this project, Université du Québec à Montréal aims to strengthen the Universidad Autónoma Gabriel René Moreno, the Universidad Amazónica de Pando, and the Universidad Técnica del Beni Mariscal José Ballivián through professional development of academic teams. The project also supports the creation of a training program for leaders in community-based ecodevelopment and environmental health. Finally, the project promotes the development of, or support for, ecodevelopment projects in this area among women, Aboriginal people, and street youth. / Le projet a pour objectif de renforcer trois universités de l'Amazonie bolivienne en matière de formation, de recherche et de services aux collectivités pour favoriser l'écodéveloppement communautaire et la santé environnementale en lien avec l'eau et l'alimentation.   Par ce projet, l'Université du Québec à Montréal vise le renforcement de l'Universidad Autónoma Gabriel René Moreno, l'Universidad Amazónica de Pando et l'Universidad Técnica del Beni Mariscal José Ballivián par le développement professionnel des équipes universitaires. Il appuie également la création d'un programme de formation de leaders en écodéveloppement communautaire et en santé environnementale. Enfin, il favorise le développement ou le soutien de projets d'écodéveloppement au sein des collectivités et le développement de compétences dans ce domaine chez les femmes, les autochtones et les jeunes de la rue.",No gender component,None,potential false negative,Not inclusion,Not employment
20060005920003,S063421001,2013,D01,ODA Grants,Canada,Bolivia,0,0.0384095,Basic nutrition,Community-based Ecodevelopment and Environmental Health / Écodéveloppement communautaire et santé environnementale,COMMUNITY-BASED ECODEVELOPMENT AND ENVIRONMENTAL HEALTH / ÉCODÉVELOPPEMENT COMMUNAUTAIRE ET SANTÉ ENVIRONNEMENTALE,"The project aims to strengthen three universities in the Bolivian Amazonia in training, research, and service to communities to promote community-based ecodevelopment and environmental health in connection with water and sanitation.   Through this project, Université du Québec à Montréal aims to strengthen the Universidad Autónoma Gabriel René Moreno, the Universidad Amazónica de Pando, and the Universidad Técnica del Beni Mariscal José Ballivián through professional development of academic teams. The project also supports the creation of a training program for leaders in community-based ecodevelopment and environmental health. Finally, the project promotes the development of, or support for, ecodevelopment projects in this area among women, Aboriginal people, and street youth. / Le projet a pour objectif de renforcer trois universités de l'Amazonie bolivienne en matière de formation, de recherche et de services aux collectivités pour favoriser l'écodéveloppement communautaire et la santé environnementale en lien avec l'eau et l'alimentation.   Par ce projet, l'Université du Québec à Montréal vise le renforcement de l'Universidad Autónoma Gabriel René Moreno, l'Universidad Amazónica de Pando et l'Universidad Técnica del Beni Mariscal José Ballivián par le développement professionnel des équipes universitaires. Il appuie également la création d'un programme de formation de leaders en écodéveloppement communautaire et en santé environnementale. Enfin, il favorise le développement ou le soutien de projets d'écodéveloppement au sein des collectivités et le développement de compétences dans ce domaine chez les femmes, les autochtones et les jeunes de la rue.",No gender component,None,potential false negative,Not inclusion,Not employment
20060005920004,S063421001,2013,D01,ODA Grants,Canada,Bolivia,0,0.0384095,Water sector policy and administrative management,Community-based Ecodevelopment and Environmental Health / Écodéveloppement communautaire et santé environnementale,COMMUNITY-BASED ECODEVELOPMENT AND ENVIRONMENTAL HEALTH / ÉCODÉVELOPPEMENT COMMUNAUTAIRE ET SANTÉ ENVIRONNEMENTALE,"The project aims to strengthen three universities in the Bolivian Amazonia in training, research, and service to communities to promote community-based ecodevelopment and environmental health in connection with water and sanitation.   Through this project, Université du Québec à Montréal aims to strengthen the Universidad Autónoma Gabriel René Moreno, the Universidad Amazónica de Pando, and the Universidad Técnica del Beni Mariscal José Ballivián through professional development of academic teams. The project also supports the creation of a training program for leaders in community-based ecodevelopment and environmental health. Finally, the project promotes the development of, or support for, ecodevelopment projects in this area among women, Aboriginal people, and street youth. / Le projet a pour objectif de renforcer trois universités de l'Amazonie bolivienne en matière de formation, de recherche et de services aux collectivités pour favoriser l'écodéveloppement communautaire et la santé environnementale en lien avec l'eau et l'alimentation.   Par ce projet, l'Université du Québec à Montréal vise le renforcement de l'Universidad Autónoma Gabriel René Moreno, l'Universidad Amazónica de Pando et l'Universidad Técnica del Beni Mariscal José Ballivián par le développement professionnel des équipes universitaires. Il appuie également la création d'un programme de formation de leaders en écodéveloppement communautaire et en santé environnementale. Enfin, il favorise le développement ou le soutien de projets d'écodéveloppement au sein des collectivités et le développement de compétences dans ce domaine chez les femmes, les autochtones et les jeunes de la rue.",No gender component,None,potential false negative,Not inclusion,Not employment
2013000391,13A579,2013,C01,ODA Grants,Australia,Pakistan,1.19828,1.19828,Basic health care,Pakistan-Australia Prevention Avoidable Blindness,PAKISTAN-AUSTRALIA PREVENTION AVOIDABLE BLINDNESS,"The Pakistan-Australia Prevention of Blindness Project aims to strengthen the capacity of the health system in Pakistan so that it can deliver sustainable eye care services to poor women, children and men, and thereby reduce the prevalence of avoidable blindness through strengthening the management and governance capacity of provincial Departments of Health in the delivery of comprehensive eye care services. The total value of this initiative is $5.5 million over 4 years, starting 2012-13.",Partial gender component,None,potential false negative,Not inclusion,Not employment
1998000248,P000756.IDA31400.crs1,2013,C01,ODA Loans,International Development Association,Ethiopia,,,Health policy and administrative management,Health Sector Development Program,HEALTH SECTOR DEVELOPMENT PROGRAM,"The Health Sector Development Program Project for Ethiopia aims to develop a health system which provides comprehensive and integrated primary care services, primarily based at community health level facilities. It focuses on communicable diseases, common nutritional disorders, environmental health and hygiene, reproductive health care, immunization, the treatment and control of basic infectious diseases like upper respiratory tract infections, the control of epidemic diseases like malaria, and the control of sexually transmitted diseases especially HIV/AIDS. The project has eight components. They 1) expand primary health care access; 2) improve the technical quality of primary health care service provision; 3) expand the supply and productivity of health personnel; 4) ensure a regular and safe supply of effective, safe, and affordable high quality drugs while improving prescribing behavior by health providers; 5) improve awareness about personal and environmental hygiene and basic knowledge of common diseases and their causes as well as promote political and community support for health services; 6) transform the health system into a four-tiered system that is linked, equitably distributed, and managed in a decentralized, participatory, and efficient manner; 7) monitor improvements in service delivery, quality, and financial performance and evaluate the impact, effectiveness, and cost-effectiveness of the project's components; and 8) improve financial sustainability.",No gender component,None,potential false negative,Not inclusion,Not employment
1998000249,P000756.IDA31400.crs2,2013,C01,ODA Loans,International Development Association,Ethiopia,,,Basic nutrition,Health Sector Development Program,HEALTH SECTOR DEVELOPMENT PROGRAM,"The Health Sector Development Program Project for Ethiopia aims to develop a health system which provides comprehensive and integrated primary care services, primarily based at community health level facilities. It focuses on communicable diseases, common nutritional disorders, environmental health and hygiene, reproductive health care, immunization, the treatment and control of basic infectious diseases like upper respiratory tract infections, the control of epidemic diseases like malaria, and the control of sexually transmitted diseases especially HIV/AIDS. The project has eight components. They 1) expand primary health care access; 2) improve the technical quality of primary health care service provision; 3) expand the supply and productivity of health personnel; 4) ensure a regular and safe supply of effective, safe, and affordable high quality drugs while improving prescribing behavior by health providers; 5) improve awareness about personal and environmental hygiene and basic knowledge of common diseases and their causes as well as promote political and community support for health services; 6) transform the health system into a four-tiered system that is linked, equitably distributed, and managed in a decentralized, participatory, and efficient manner; 7) monitor improvements in service delivery, quality, and financial performance and evaluate the impact, effectiveness, and cost-effectiveness of the project's components; and 8) improve financial sustainability.",No gender component,None,potential false negative,Not inclusion,Not employment
1998000250,P000756.IDA31400.crs3,2013,C01,ODA Loans,International Development Association,Ethiopia,,,Malaria control,Health Sector Development Program,HEALTH SECTOR DEVELOPMENT PROGRAM,"The Health Sector Development Program Project for Ethiopia aims to develop a health system which provides comprehensive and integrated primary care services, primarily based at community health level facilities. It focuses on communicable diseases, common nutritional disorders, environmental health and hygiene, reproductive health care, immunization, the treatment and control of basic infectious diseases like upper respiratory tract infections, the control of epidemic diseases like malaria, and the control of sexually transmitted diseases especially HIV/AIDS. The project has eight components. They 1) expand primary health care access; 2) improve the technical quality of primary health care service provision; 3) expand the supply and productivity of health personnel; 4) ensure a regular and safe supply of effective, safe, and affordable high quality drugs while improving prescribing behavior by health providers; 5) improve awareness about personal and environmental hygiene and basic knowledge of common diseases and their causes as well as promote political and community support for health services; 6) transform the health system into a four-tiered system that is linked, equitably distributed, and managed in a decentralized, participatory, and efficient manner; 7) monitor improvements in service delivery, quality, and financial performance and evaluate the impact, effectiveness, and cost-effectiveness of the project's components; and 8) improve financial sustainability.",No gender component,None,potential false negative,Not inclusion,Not employment
1998000251,P000756.IDA31400.crs4,2013,C01,ODA Loans,International Development Association,Ethiopia,,,Reproductive health care,Health Sector Development Program,HEALTH SECTOR DEVELOPMENT PROGRAM,"The Health Sector Development Program Project for Ethiopia aims to develop a health system which provides comprehensive and integrated primary care services, primarily based at community health level facilities. It focuses on communicable diseases, common nutritional disorders, environmental health and hygiene, reproductive health care, immunization, the treatment and control of basic infectious diseases like upper respiratory tract infections, the control of epidemic diseases like malaria, and the control of sexually transmitted diseases especially HIV/AIDS. The project has eight components. They 1) expand primary health care access; 2) improve the technical quality of primary health care service provision; 3) expand the supply and productivity of health personnel; 4) ensure a regular and safe supply of effective, safe, and affordable high quality drugs while improving prescribing behavior by health providers; 5) improve awareness about personal and environmental hygiene and basic knowledge of common diseases and their causes as well as promote political and community support for health services; 6) transform the health system into a four-tiered system that is linked, equitably distributed, and managed in a decentralized, participatory, and efficient manner; 7) monitor improvements in service delivery, quality, and financial performance and evaluate the impact, effectiveness, and cost-effectiveness of the project's components; and 8) improve financial sustainability.",No gender component,None,potential false negative,Not inclusion,Not employment
1998000252,P000756.IDA31400.crs5,2013,C01,ODA Loans,International Development Association,Ethiopia,,,Public sector policy and administrative management,Health Sector Development Program,HEALTH SECTOR DEVELOPMENT PROGRAM,"The Health Sector Development Program Project for Ethiopia aims to develop a health system which provides comprehensive and integrated primary care services, primarily based at community health level facilities. It focuses on communicable diseases, common nutritional disorders, environmental health and hygiene, reproductive health care, immunization, the treatment and control of basic infectious diseases like upper respiratory tract infections, the control of epidemic diseases like malaria, and the control of sexually transmitted diseases especially HIV/AIDS. The project has eight components. They 1) expand primary health care access; 2) improve the technical quality of primary health care service provision; 3) expand the supply and productivity of health personnel; 4) ensure a regular and safe supply of effective, safe, and affordable high quality drugs while improving prescribing behavior by health providers; 5) improve awareness about personal and environmental hygiene and basic knowledge of common diseases and their causes as well as promote political and community support for health services; 6) transform the health system into a four-tiered system that is linked, equitably distributed, and managed in a decentralized, participatory, and efficient manner; 7) monitor improvements in service delivery, quality, and financial performance and evaluate the impact, effectiveness, and cost-effectiveness of the project's components; and 8) improve financial sustainability.",No gender component,None,potential false negative,Not inclusion,Not employment
2013002182-6,LN2172-BAN,2013,C01,ODA Loans,Asian Development Bank,Bangladesh,,1.28307,Health policy and administrative management,Second Urban Primary Health Care Project,SECOND URBAN PRIMARY HEALTH CARE PROJECT,"Product type: ADF - CONVERTED TO SDR.     The Project will improve the health status of the urban population, especially of the poor, in all the six city corporations and five municipalities to be identified. The Project will help ensure the delivery of a package of preventive, promotive, and curative health services.  At least 30% of all the services provided under the Project will be targeted at the poor. The specific project objectives are to improve (i) access to and use of urban primary health care (PHC) services in the project area, with a particular focus on extending provision to the poorest; (ii) the quality of urban PHC services in the project area; and (iii) the cost-effectiveness, efficiency, and institutional and financial sustainability of PHC to meet the needs of the urban poor. The services will be designed to reduce child and maternal mortality and morbidity, and help the country achieve the Millennium Development Goals (MDGs). The Project will continue to contract out PHC services to nongovernment organizations (NGOs) through partnership agreements that were pioneered under the first Urban Primary Health Care Project (UPHCP-I). The Project will ensure pro-poor targeting by requiring that at least 30% of the preventive, promotive, and curative services provided are for the poor. Nutritional supplements will be given to moderately to severely malnourished women and children. The Project will support construction of 64 health facilities, upgrading of 4, and purchase of 12 apartments and/or buildings for PHC facilities in Dhaka city corporation. Community-run latrines and community-based solid-waste disposal will be piloted to improve environmental health, and clinical waste management will be supported.",No gender component,None,potential false negative,Not inclusion,Not employment
2013002353-6,LN2554-BAN,2013,C01,ODA Loans,Asian Development Bank,Bangladesh,,,Agro-industries,Urban Public and Environmental Health Sector Development Program (Program Loan),URBAN PUBLIC AND ENVIRONMENTAL HEALTH SECTOR DEVELOPMENT PROGRAM (PROGRAM LOAN),"Product type: NEW ADF.     The overall impact of the Urban Public and Environmental Health Sector Development Program (UPEHSDP) is to improve the public and environmental health conditions in the urban areas of Bangladesh, particularly in the six city corporations (Barisal, Chittagong, Dhaka, Khulna, Rajshahi, and Sylhet). The successful implementation of the UPEHSDP will help reduce child mortality and morbidity by reducing the prevalence of waterborne and food-related diseases, increase productivity by reducing overall morbidity, and improve the quality of life of urban inhabitants. UPEHSDP will improve the health status of the poor in urban areas and assist Bangladesh to make progress on the Millennium Development Goals (MDGs) relating to child and maternal health care and communicable diseases (MDGs 4, 5, and 6), and improve urban sanitation (MDG 7). The program and project loans under the UPEHSDP are designed to complement each other in achieving progress towards these key goals.",No gender component,None,potential false negative,Not inclusion,Not employment
2013002354-6,LN2555-BAN,2013,C01,ODA Loans,Asian Development Bank,Bangladesh,,0.166681,Agro-industries,Urban Public and Environmental Health Sector Development Program (Program Loan),URBAN PUBLIC AND ENVIRONMENTAL HEALTH SECTOR DEVELOPMENT PROGRAM (PROGRAM LOAN),"Product type: NEW ADF.     The overall impact of the Urban Public and Environmental Health Sector Development Program (UPEHSDP) is to improve the public and environmental health conditions in the urban areas of Bangladesh, particularly in the six city corporations (Barisal, Chittagong, Dhaka, Khulna, Rajshahi, and Sylhet). The successful implementation of the UPEHSDP will help reduce child mortality and morbidity by reducing the prevalence of waterborne and food-related diseases, increase productivity by reducing overall morbidity, and improve the quality of life of urban inhabitants. UPEHSDP will improve the health status of the poor in urban areas and assist Bangladesh to make progress on the Millennium Development Goals (MDGs) relating to child and maternal health care and communicable diseases (MDGs 4, 5, and 6), and improve urban sanitation (MDG 7). The program and project loans under the UPEHSDP are designed to complement each other in achieving progress towards these key goals.",No gender component,None,potential false negative,Not inclusion,Not employment
2013002101-6,LN2427-MLD,2013,C01,ODA Loans,Asian Development Bank,Maldives,,,Business Policy and Administration,Private Sector Development Project,PRIVATE SECTOR DEVELOPMENT PROJECT,"Product type: NEW ADF.     The intended impact of the Project is a developed and expanded micro-, small-, and medium-sized enterprise (MSME) subsector leading to broad-based, private sector-led, and sustainable inclusive growth. The intended outcomes are (i) enhanced access to finance by MSMEs by providing Bank of Maldives (BML) with a line of credit facility (LCF) to pilot credit assistance to MSMEs in designated regions, (ii) enhanced access to markets, technology and information and strengthened capacity of MSMEs through the establishment of business development services centers (BDSC) and a cost-sharing facility (CSF) designed to meet their special needs, and (iii) improved support infrastructure through PPPs.",No gender component,None,potential false negative,Not inclusion,Not employment
2013000036,13A045,2013,C01,ODA Grants,Australia,Pakistan,0.0159771,0.0159771,Basic health care,Prevention of Blindness Project Design,PREVENTION OF BLINDNESS PROJECT DESIGN,"The Pakistan-Australia Prevention of Blindness Project aims to strengthen the capacity of the health system in Pakistan so that it can deliver sustainable eye care services to poor women, children and men, and thereby reduce the prevalence of avoidable blindness through strengthening the management and governance capacity of provincial Departments of Health in the delivery of comprehensive eye care services. The total value of this initiative is $5.5 million over 4 years, starting 2012-13.",Partial gender component,None,potential false negative,Not inclusion,Not employment
2013000038a,009-065941-1,2013,C01,ODA Grants,Spain,El Salvador,0,0.459277,Low-cost housing,"Improvement of habitat, sanitation and environmental conditions in San Pedro Masahuat, Region of La Paz","IMPROVEMENT OF HABITAT, SANITATION AND ENVIRONMENTAL CONDITIONS IN SAN PEDRO MASAHUAT, REGION OF LA PAZ","El programa promueve las mejoras de habitabilidad, saneamiento y medioambientales, así como el fortalecimiento comunitario. Para ello, concentra sus actuaciones en: ? la construcción de infraestructuras de habitabilidad básica (75 viviendas), productivas (75 huertos y 1 bodega), sociales (un centro comunitario, un área recreativa y un campo de softball), de saneamiento (una planta de tratamiento de residuos) y construcción de 6 Mini Acueductos por Bombeo Eléctrico. ? Capacitación a la población beneficiaria. ? Fortalecimiento de las estructuras de participación social. ? Organización de eventos para la cohesión social. ? Realización de 2 estudios: situacional de población discapacitada del municipio y alternativas productivas para grupos vulnerables.",Partial gender component,None,potential false negative,Not inclusion,Not employment
2013000038b,009-065941-2,2013,C01,ODA Grants,Spain,El Salvador,0,0.229638,Waste management/disposal,"Improvement of habitat, sanitation and environmental conditions in San Pedro Masahuat, Region of La Paz","IMPROVEMENT OF HABITAT, SANITATION AND ENVIRONMENTAL CONDITIONS IN SAN PEDRO MASAHUAT, REGION OF LA PAZ","El programa promueve las mejoras de habitabilidad, saneamiento y medioambientales, así como el fortalecimiento comunitario. Para ello, concentra sus actuaciones en: ? la construcción de infraestructuras de habitabilidad básica (75 viviendas), productivas (75 huertos y 1 bodega), sociales (un centro comunitario, un área recreativa y un campo de softball), de saneamiento (una planta de tratamiento de residuos) y construcción de 6 Mini Acueductos por Bombeo Eléctrico. ? Capacitación a la población beneficiaria. ? Fortalecimiento de las estructuras de participación social. ? Organización de eventos para la cohesión social. ? Realización de 2 estudios: situacional de población discapacitada del municipio y alternativas productivas para grupos vulnerables.",Partial gender component,None,potential false negative,Not inclusion,Not employment
2013000038c,009-065941-3,2013,C01,ODA Grants,Spain,El Salvador,0,0.229638,Food crop production,"Improvement of habitat, sanitation and environmental conditions in San Pedro Masahuat, Region of La Paz","IMPROVEMENT OF HABITAT, SANITATION AND ENVIRONMENTAL CONDITIONS IN SAN PEDRO MASAHUAT, REGION OF LA PAZ","El programa promueve las mejoras de habitabilidad, saneamiento y medioambientales, así como el fortalecimiento comunitario. Para ello, concentra sus actuaciones en: ? la construcción de infraestructuras de habitabilidad básica (75 viviendas), productivas (75 huertos y 1 bodega), sociales (un centro comunitario, un área recreativa y un campo de softball), de saneamiento (una planta de tratamiento de residuos) y construcción de 6 Mini Acueductos por Bombeo Eléctrico. ? Capacitación a la población beneficiaria. ? Fortalecimiento de las estructuras de participación social. ? Organización de eventos para la cohesión social. ? Realización de 2 estudios: situacional de población discapacitada del municipio y alternativas productivas para grupos vulnerables.",Partial gender component,None,potential false negative,Not inclusion,Not employment
2013000078,3NIR0128,2013,D02,ODA Grants,Islamic Development Bank,Niger,0.0183166,,Health personnel development,Reverse Linkage Operation Between Niger And Turkey Under The Framework Of Alliance To Fight Avoidable Blindness,REVERSE LINKAGE OPERATION BETWEEN NIGER AND TURKEY UNDER THE FRAMEWORK OF ALLIANCE TO FIGHT AVOIDABLE BLINDNESS,Instrument: Grant (TA) - Sector: Health,No gender component,None,potential false negative,Not inclusion,Not employment
2013000079,3NIR0129,2013,D02,ODA Grants,Islamic Development Bank,Niger,0.119058,,Health personnel development,Framework Of Alliance To Fight Avoidable Blindness,FRAMEWORK OF ALLIANCE TO FIGHT AVOIDABLE BLINDNESS,Instrument: Grant (TA) - Sector: Health,No gender component,None,potential false negative,Not inclusion,Not employment
2013000672,5583 - 0 - 998,2013,C01,ODA Grants,Global Environment Facility,"Bilateral, unspecified",1.83166,,Biosphere protection,REDUCING ENVIRONMENTAL HEALTH IMPACTS OF HARMFUL POLLUTANTS IN AFRICA REGION,REDUCING ENVIRONMENTAL HEALTH IMPACTS OF HARMFUL POLLUTANTS IN AFRICA REGION,REDUCING ENVIRONMENTAL HEALTH IMPACTS OF HARMFUL POLLUTANTS IN AFRICA REGION,No gender component,None,potential false negative,Not inclusion,Not employment
20070000370001,A032889001,2013,D01,ODA Grants,Canada,China (People's Republic of),0,0.325245,Environmental policy and administrative management,China Council for International Cooperation on Environment and Development / Conseil chinois de coopération internationale en environnement et en développement,CHINA COUNCIL FOR INTERNATIONAL COOPERATION ON ENVIRONMENT AND DEVELOPMENT / CONSEIL CHINOIS DE COOPÉRATION INTERNATIONALE EN ENVIRONNEMENT ET EN DÉVE,"CIDA's contribution is enabling Simon Fraser University to provide Canadian and international expertise from a range of sources to the China Council for International Cooperation on Environment and Development for policy analysis and recommendations on issues of priority to the Government of China. The Council, which consists of over 40 eminent Chinese and international members, was founded by the Government of China in 1992 to foster environmentally sustainable development. It plays an important role in helping China to implement its priorities under its Agenda 21 Action Plan and helps China develop integrated, coherent policies linking the environment to social and economic development. The Council is focusing its advice on issues including innovation for sustainable development; chemicals management; achieving emissions control; environmental health; and sustainable use of energy. / La contribution de l'ACDI permet à l'Université Simon Fraser de faire profiter au Conseil chinois de coopération internationale en environnement et en développement d'une expertise internationale et canadienne de sources très variées pour favoriser l'analyse des politiques et la formulation de recommandations sur des questions que le gouvernement de la Chine considère comme prioritaires. Le Conseil, qui regroupe une quarantaine de membres éminents de la Chine et d'autres pays, a été créé en 1992 par le gouvernement de la Chine pour favoriser un développement durable sur le plan de l'environnement. Il aide grandement la Chine à concrétiser les priorités de son plan relatif à Action 21 et à élaborer des politiques intégrées et cohérentes reliant l'environnement au développement social et économique. Les thèmes abordés incluent l'innovation dans le domaine du développement durable, la gestion des produits chimiques, le contrôle des émissions de gaz, la santé environnementale ainsi que l'utilisation durable de l'énergie.",No gender component,None,potential false negative,Not inclusion,Not employment
2013003290,76_31562,2013,C01,ODA Grants,United States,Mauritania,,0,Elections,"Elections and Political Processes - Enfranchisement, Access and Participation","ELECTIONS AND POLITICAL PROCESSES - ENFRANCHISEMENT, ACCESS AND PARTICIPATION","Elections and Political Processes - Support broad and inclusive participation of all citizens in electoral and political processes, particularly by women and other disenfranchised groups including ethnic and religious minorities, internally displaced persons, and people with disabilities.",No gender component,None,potential false negative,Not inclusion,Not employment
2013005515,5508002601,2013,C01,ODA Grants,Sweden,Viet Nam,0,0.0183202,Human rights,PDC C Improving Living skills for the Blind - PDC C Improving skills for the Blind,PDC C IMPROVING LIVING SKILLS FOR THE BLIND - PDC C IMPROVING SKILLS FOR THE BLIND,"The partners, Vietnam Blind Association (VBA) and the Swedish Association of Visually Impaired (SRF), have applied for seed contribution to broaden and deepen their links further through implementation of a project. Their project  Improving living Skills for the blind in Vietnam  aims at improving competence and capacity in new associations in 6 provinces through developing training materi",Partial gender component,None,potential false negative,Not inclusion,Not employment
2009005987XBA1,105987,2013,C01,ODA Grants,Canada,"South of Sahara, regional",0,0.00760489,Health personnel development,Task Shifting in Eastern Africa : Eye Care Services,TASK SHIFTING IN EASTERN AFRICA : EYE CARE SERVICES,"A shortage of skilled health workers is one constraint to better healthcare in sub-Saharan Africa. To cope with this shortage, African providers practice task shifting, that is, allocating healthcare roles and procedures to less specialized health workers. VISION 2020 is a global initiative that strives to eliminate avoidable blindness by the year 2020. Some proponents of VISION 2020 believe that task shifting is essential to meeting this goal. Task shifting would see general health workers providing primary eye care, nurses or health assistants providing eyelid surgery for trachomatous trichiasis, and non-physician technicians providing cataract surgery. Primary eye care is already included in the health assistants' curriculum in Kenya, Malawi, Tanzania and Uganda, and approximately 150 cataract and 150 trachoma surgeons have been trained since 1990. Little is known, however, about the strengths and weaknesses of this strategy, the productivity and quality of service provided, or the retention and satisfaction of the personnel involved. This study will measure the effect of enhanced supervision of general health workers, and the impact of trichiasis and cataract surgeons, on the quality of and access to eye care services in three countries. Researchers will look at visual outcomes and patient satisfaction, as well as the productivity, retention and attrition of eye care providers, and the workplace factors involved therein.",No gender component,None,potential false negative,Not inclusion,Not employment
2013010945,76_40198,2013,B03,ODA Grants,United States,"Bilateral, unspecified",2.86433,7.78811,Family planning,World Health Organization Consolidated Grant - Family Planning and Reproductive Health,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - FAMILY PLANNING AND REPRODUCTIVE HEALTH,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2013010939,76_40198,2013,B03,ODA Grants,United States,Afghanistan,0,2.52392,Reproductive health care,World Health Organization Consolidated Grant - Maternal and Child Health,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - MATERNAL AND CHILD HEALTH,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2013010940,76_40198,2013,B03,ODA Grants,United States,Angola,0,0.621274,Malaria control,World Health Organization Consolidated Grant - Malaria,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - MALARIA,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2013010941,76_40198,2013,B03,ODA Grants,United States,Bangladesh,0,0.111507,Tuberculosis control,World Health Organization Consolidated Grant - Tuberculosis,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - TUBERCULOSIS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
2013010942,76_40198,2013,B03,ODA Grants,United States,Belarus,0,0.0120514,Tuberculosis control,World Health Organization Consolidated Grant - Tuberculosis,WORLD HEALTH ORGANIZATION CONSOLIDATED GRANT - TUBERCULOSIS,"This grant provides support for collaborative activities with USAID and the World Health Organization (WHO) in infectious diseases, maternal and child health, family planning, safe motherhood, reproductive health, environmental health and HIV/AIDS. Specifically, support is provided to WHOs relevant technical and program divisions for technical input and assistance in the development, implementation and/or evaluation of health programs and studies including: 1) Global strategy development; 2) Technical analyses; 3) Demonstration activities and feasibility studies; 4) Capacity building; 5) Policy reform; 6) Project evaluation and assessments; 7) Monitoring and evaluation; 8) Education/information strategies; 9) Maternal and neonatal health; 10) Family Planning and Reproductive Health; 11) Implementing Best Practices in Family Planning; and 11) Medical Eligibility Criteria (MEC).",Major gender component,None,potential false negative,Not inclusion,Not employment
